row,Desc_content,Requirements
/job/data-scientist-niometrics-a31d35f2fe3ecd505dd2c60ddf529300,"WHAT WE DO Niometrics captures, organises and extracts insights from some of the biggest and most complicated datasets that our modern societies currently produce. We put a magnifying glass on the realities collectively constructed by billions of connected individuals and machines, making sense of how humanity is re-creating wholly new digital universes with bits and bytes – universes that need to be seen, interpreted and explained. From taking deep dives into digital behaviours, to exploring the most intimate interactions between network technology and user experiences, we do it all. Our Data Science team consists of ambitious, creative and passionate individuals, united in the common goal of making a difference. With millions of users generating hundreds of TBs of data daily, our day-to-day job becomes an adventure of connecting digital signals with real-life habits to formulate granular audience insights – who they are, how they behave, and ultimately, how we can expect them to behave in the future. The action does not stop there – we also take pride in working with the latest high-end hardware and world-class software architecture. This means there are virtually no limits to the scope of future events we can model, giving us insights on not just people, but also the entire inter-connected ecosystem to which they belong. We are perfectionists and we do not hide it. You will join a thrilling environment, implementing and deploying data science solutions that are both efficient and secure, setting the basis for a groundbreaking software platform for the long run.  YOUR ROLE AS DATA SCIENTIST As a Data Scientist, you will work end-to-end, leading entire projects and owning their outcomes through their entire lifecycle. You will formulate hypotheses on structured and unstructured data, design experiments, draw meaningful conclusions and effectively communicate the results to business stakeholders. You will be part of a relentless team, curious to extract the highest value possible in the most effective way. You will put into action your machine learning skills, and together, we will build optimum algorithms for regression, classification, clustering, and information extraction.","RequirementsWHAT WE VALUE  BA/BS (or MA/MS) or equivalent experience in applied Data Science. Proficiency in statistical packages and ML libraries for both big and not so big data (e.g. Python SciPy ecosystem, NLTK, Tensorflow or equivalent, Spark ML and MLlib, etc.) In depth knowledge of cutting-edge machine learning algorithms, as well as the strengths and weaknesses of the different methods and algorithms on different applications. Experience in Unix systems and scripting in bash. Proficiency in code optimisation (knowledge of Cython or similar) "
/job/lead-data-scientist-redmart-4360d885f21e92f19aaab3d026dd9dfc,"As one of the fastest growing e-commerce and logistics companies in Asia, RedMart is a part of Alibaba-backed Lazada, Southeast Asia’s leading online shopping and selling platform, and we offer an unparalleled scaling a startup experience. We’re focused on always improving our customer experience and achieving our mission: To save our customers time and money for the important things in life! We are looking for a Lead Data Scientist who cares deeply about customers and users to help develop the next generation of search and personalization at RedMart. You will build data mining systems to tackle hard problems in understanding and predicting consumer behavior to offer items to customers which are most relevant to them. You will work with engineers, product managers and designers to develop innovative new technologies and data driven features and products. You will also work closely with other Data Scientists to collaborate on projects and share techniques and learnings. If you enjoy working with data to build products and solve hard problems in surprisingly creative ways, this is the role for you.  ","RequirementsQualifications:  Deep expertise in search, preferably in e-commerce. Excellent knowledge on improving search incrementally as well as making step-changes such as applying NLP, text mining, etc. Proven track record building robust search systems and achieving strong results Expertise in personalization and recommender systems Able to guide a team of engineers to identify and break down necessary architecture and services to support search and personalization services Able to guide and work well with a team of engineers to implement Machine Learning algorithms and models, as well as implementing necessary software Solid understanding of search metrics and implementing tracking to measure performance Solid understanding of search engines and utilizing features effectively. Familiarity with ElasticSearch is a plus Hands-on experience developing and implementing Machine Learning algorithms and models. Background in Machine Learning,Statistics & Information Retrieval Design, implement, test robust technical solutions that our high traffic site/apps can rely on Write clean code that’s testable, maintainable, solves the right problem and does it well. Code you can be proud of. Phd, Masters, or equivalent experience in a quantitative field (computer science, physics, mathematics, bioinformatics, etc.) a plus, but by no means a must Experience programming in functional languages (Scala,Golang,Haskell, Clojure etc.) a plus but not a must Knowledge of scripting languages like  Python/R, familiarity with web frameworks a plus Experience with Java and/or Scala and microservices is a plus Understanding of A/B testing      Desired Skills:  Able to be a key influencer in the team’s strategy and contribute significantly to team planning, showing good judgement making technical trade-offs between the team’s short term and long term business needs, and the needs of the company as a whole Strong team player: Superb communication skills, thrives in a collaborative environment and be committed to the success of the team as a whole. Critical thinking: ability to track down complex data and engineering issues, evaluate different algorithmic approaches, and analyze data to solve problems Creativity: you can conceive of new data driven products, features, and technologies Results: you prioritize, focusing on ideas and features that will have significant, measurable impact Planning & estimation: ability to set and meet your own project objectives & milestones Communicate results and progress internally and externally in meetings, presentations, and tech talks Passion for technology. Our developers are always evaluating new tools and technologies that can make us better. What has attracted your interest lately? "
/job/avp-data-scientist-business-analytics-consumer-banking-group-dbs-bank-c725fe7c4f6e216e2364592f2a9f0e26,"Business Function  As the leading bank in Asia, DBS Consumer Banking Group is in a unique position to help our customers realise their dreams and ambitions. As a market leader in the consumer banking business, DBS has a full spectrum of products and services, including deposits, investments, insurance, mortgages, credit cards and personal loans, to help our customers realise their dreams and aspirations at every life stage. Our financial solutions are not only the best in the business – they were made just right for you.    About this role    The Regional Data Science team is part of the Regional Business Analytics team for Consumer Banking Group. Our responsibilities include building the Data Science Solutions using advanced machine learning methods, recommendation engines, text mining solutions and customer models to increase the business impact and efficient customer management, as well as answer numerous business questions using statistical tools and data analysis.   Responsibilities     Involve in building cutting edge algorithms and working with state-of-art data science and machine learning tools such as Spark, Tensor Flow and will have mastery in any number of analytic platforms like SAS, SQL, Python, R. etc. Work with large scale datasets, distributed Big Data Platforms for a variety of advanced analytics solutions across the Bank ranging from recommendation engines, Propensity models, customer segmentation, Graph models, pricing and more. Work alongside BA Leadership, making regular presentation to senior management including C-level executives within the Consumer Bank Leadership across the region Help the team with methodology and guidance in the areas of experiment design and data analysis. ","Requirements Masters or equivalent degree in Statistics, Applied Mathematics, Operation Research, or equivalent quantitative fields preferred. Strong mathematical and statistics background. 6-10 years of experience in industry (ideally consumer banking, ecommerce, telecoms, retail) and/or academia with demonstrated track record of innovative research and insight generation and implementation of insights into tools/processes delivering front end business results  At least 5 years of data mining and machine learning on large amount of data, building and implementing various statistical models. Good understanding of technology tools especially those related to analytics, data & statistical modelling.  Programming experience in SAS (Base, Stats, Macro, EG, EM), R, Python, Spark, Tensorflow or other statistical programing software.  Familiarity with Hadoop, Hive, and Pig. Proficient in using databases like Teradata, Oracle, SQL Server, Neo4J etc.. Knowledge of internet marketing data collection and metrics as well as familiarity with digital analytics platforms like Google Adwords, Facebook Contextual marketing, Omniture/Adobe, Mediaplex, etc would be helpful. Ability to communicate complex analysis/models across a diverse team. Good written and oral communication skills "
/job/senior-staff-data-scientist-ncs-d9c7ce2e9a37be448050f2c1aa39e9ce," Work with customers to identify opportunities where Artificial Intelligence (AI), Machine Learning (ML), and Advanced Analytics (AA) can be applied to data to solve the customer painpoints. Individually or collaborate with other team members to develop AI/ML/AA prototypes/Proof-of-Concept/Proof-of-Value to derive actionable insights from data. Collaborate with the customers and internal stakeholders to architect the overall supporting storage and compute infrastructure to support the deployment of the AI/ML/AA models, applications, and visualisation of the results.   Collaborate with the relevant project managers to conceptualise, develop project scope, requirements, budget, and timeline for the implementation of the identified AI/ML/AA projects. Implement the AI/ML/AA projects and to ensure that the projects’ AI/ML/AA objectives are met.    ","Requirements PhD/Masters/Bachelors (with good honours) in Computer Science, Statistics, Applied Mathematics, Operations Research, or related disciplines. Prefer candidates with 5 or more years of working experience, with at least 2 years of Artificial Intelligence (AI), Machine Learning (ML), and Advanced Analytics (AA) experience. Domain experience in public safety, defence, transport, education, and healthcare are highly desired. AI/ML/AA experience in smart city, social media, and procurement are also highly desired.  Good knowledge of AI/ML/AA models, software, and tools with the ability to conceptualise and architect the key components of AI/ML/AA projects; and to develop prototypes using statistical software packages such as R/SAS/SPSS. Experience working with very large data sets, including statistical analyses, data visualization, data mining, and data cleansing/transformation and machine learning. Experience in solutions using technologies such as Hadoop/Hive/Hbase/NoSQL and developer skills in Python, Perl, and Java are highly desired. "
/job/associate-senior-data-scientist-ncs-12347b2449c4a0dcd94e3cda90c17553," Work with customers to identify opportunities where Artificial Intelligence (AI), Machine Learning (ML), and Advanced Analytics (AA) can be applied to data to solve the customer painpoints. Individually or collaborate with other team members to develop AI/ML/AA prototypes/Proof-of-Concept/Proof-of-Value to derive actionable insights from data. Collaborate with the customers and internal stakeholders to architect the overall supporting storage and compute infrastructure to support the deployment of the AI/ML/AA models, applications, and visualisation of the results.   Collaborate with the relevant project managers to conceptualise, develop project scope, requirements, budget, and timeline for the implementation of the identified AI/ML/AA projects. Implement the AI/ML/AA projects and to ensure that the projects’ AI/ML/AA objectives are met.    ","Requirements PhD/Masters/Bachelors (with good honours) in Computer Science, Statistics, Applied Mathematics, Operations Research, or related disciplines. Prefer candidates with 3 or more years of working experience, with at least 2 years of Artificial Intelligence (AI), Machine Learning (ML), and Advanced Analytics (AA) experience. Domain experience in public safety, defence, transport, education, and healthcare are highly desired. AI/ML/AA experience in smart city, social media, and procurement are also highly desired.  Good knowledge of AI/ML/AA models, software, and tools with the ability to conceptualise and architect the key components of AI/ML/AA projects; and to develop prototypes using statistical software packages such as R/SAS/SPSS. Experience working with very large data sets, including statistical analyses, data visualization, data mining, and data cleansing/transformation and machine learning. Experience in solutions using technologies such as Hadoop/Hive/Hbase/NoSQL and developer skills in Python, Perl, and Java are highly desired. "
/job/data-scientist-national-university-singapore-90090c7c52ec6d702db995e880d3e437,"1. Work with Industry Partners in Challenging Business Analytics Projects  Work with BAC industry partners to conduct applied research projects Collaborate with BAC industry partners to collect business requirements, design and develop analytics and optimization solutions Design and develop innovative analytics and optimization models and algorithms to solve the challenging business problems; Publish papers/industry reports and file patents in analytics areas ","Requirements Good knowledge in Operations Research and Mathematical Optimization areas, e.g. Mixed Integer Programming (MIP), LP (Linear Programming), NLP (Non-linear Programming), Meta-heuristic search algorithms, etc. Good knowledge in transforming business requirements into mathematical models Good knowledge in manufacturing systems and supply chain planning areas Good knowledge in commercial optimization tools, e.g. IBM Cplex optimization studio, Gurobi, Fico Xpress, etc. Other analytics knowledge is big plus, e.g. machine learning, simulation, visualization, etc. Excellent communication skills Able to confidently deal with different level staffs from top tier MNCs Willing to go the 'extra mile' for BAC industry partners Ability to build rapport Time management and planning skills Able to travel to oversea based on project requirements Minimum university degree holder; Masters and PhDs are welcome to apply "
/job/data-scientist-application-production-engineer-keyteo-consulting-72c619360a33276d981dbe73e9ca14f4,"Our Company:     Founded in 2014, Keyteo Consulting is a company specialized in organization and information system management in financial and banking environments that work with its clients as they outsource their projects in innovation, as well as research and development. Our purpose is to improve the innovation, competitiveness and performances of our clients. We contribute to all the key steps in our clients’ project lifecycles, from an analysis of the needs through implementation and industrialization.  Keyteo Consulting offers strategic, operational and technological solutions intended to accompany clients as they carry out their projects, by providing complete expertise. Keyteo Consulting is strongly dedicated to sustain the strong growth of companies specializing in key sectors such as banking/finance and others. ","RequirementsThis role is a position within the eTrading Application Production team in Singapore that is part of the global APS e-Solutions group (Application Production & Support) representing eTrading and eCommerce stakeholders in the region. The team provides platform and infrastructure management for all front office Electronic Solutions systems, which consist of more than 50 Electronic trading and eCommerce applications hosted on approximately 500 Windows and Linux servers in Asia Pacific and 1000’s worldwide. The team also manages and supports Forex, Rates and Credit Direct Market Access (DMA) adaptors and their downstream dependencies. These adaptors connect to more than 20 electronic trading venues such as EBS, Reuters, JPX, ASX, SGX and Tradeweb as well as a number of external facing clients.  Team members require a strong understanding of eTrading systems using a broad range of skills such as Linux and Windows operating systems, externally connecting TCP/IP networks including multicast, firewalls, databases and eCommerce industry standard technologies such as load balancers and proxy servers. Team members are required to liaise with functional application support, development, IT infrastructure teams as well as business stakeholders while managing technical projects, resolving incidents, solving problems and fulfilling requests. The systems that the global team supports are based in in London, New York, Tokyo and Singapore and most of them are live 24/5.5, so close interaction with global counterparts occur on a daily basis Direct Responsibilities Ownership of Production systems:  Hands on technical support for the FX, Rates and Credit global trading platforms.  Work with counterparts in London, Mumbai and New York to provide a follow the sun  support model while taking responsibility for the management of incidents and resulting problems that occur in London and New York platforms during Asian hours.  Responsible for ensuring local monitoring, capacity / performance management and automation of local systems as a part of a global framework.  Plan, schedule, implement and document the change activities as well as troubleshooting incidents and resolving problems.  Work with autonomy and independence but within the framework of a global support structure. Contributing Responsibilities  Application integration, technical project management and implementation of the new requirements for applications and infrastructure that are within the Electronic Solutions Infrastructure scope. (ION Trading + eFX and Credit in-house systems)  Perform activities related to rollout of upgrades of existing services as well as coordinate and organize changes with external vendors, clients, markets and ECNs in Singapore, Japan and Australia.  Plan, schedule, implement and document the change activities as well as troubleshooting incidents and resolving problems.  Work closely with development teams, business analysts, architects and infrastructure teams to enhance existing platform. eg: resilience, BCP, system performance and low latency.  Support and management of the regional messaging infrastructure used by the eTrading platforms. (Tibco RV multicast, in-house systems) Technical & Behavioral Competencies  Sound understanding of both Windows and Linux server Operating Systems with a particular focus on application implementation and troubleshooting as well as performance tuning, low latency, time synchronisation and Operating System connectivity.  Good knowledge of TCP/IP networks with routing, multicast and multi-tiered firewall environments as there is a need to manage external connectivity to clients and exchanges via cross-connects and service providers.  Able to troubleshoot applications from a TCP and multicast level including packet captures, firewall and network routing analysis.  Ability to architect solutions that integrate trading applications into the existing environment while considering application failover and BCP, performance optimisation, latency and maximising the stability of the platform.  Solid scripting and automation skills required with a DevOps mindset. Python, shell scripting and Blade Logic experience a plus.  Experience in supporting and implementing a vendor based real time trading system such as ION trading.  Knowledge of FX and Rates Electronic Trading business functionality and trade flow. Specific Qualifications (if required)  Linux, Windows or Cisco certifications would be an advantage In addition to the skills and responsibilities mentioned in the JD, we’re looking for someone who has interest or exposure to data analytics. One of the project he will be in charge of may require data science on how to effectively gather and communicate upstream achievements of the team."
/job/data-analyst-kimberley-consulting-738c09eb434ca3d59c83747d340a9b2c," Large commodities company Marina Bay    Responsibilities:  Use statistical methods to analyze data and generate useful business insights Dig through and analyze data in company’s databases, public websites, social media etc to gather useful insights and present them to stakeholders Preprocess structured/unstructured data and provide cleansed data for building analytic models Understand business requirements and convert into use-cases for data science Working closely with data scientist in providing data needs as well as communicating the modeling results to business Working closely with data engineers in communicating business requirements and supporting in data procurement needs ","RequirementsRequirements:  Minimum Bachelor’s Degree in Mathematics/Computer Engineering Preferably 1-2 years’ experience in data-mining, Python and/or R programming, and analytical skills Ability to collaborate effectively and work as part of a team Strong experience in performing Exploratory Data Analytics using Statistical tool such as Excel, or programming languages like R, Python Good to have experience in working on various big data tools such as hive, spark, sqoop etc, and with MySQL and NoSQL databases Excellent communication and engagement skills, so as to be able to explain ideas clearly regardless of the audience Experience in working on Text analytics projects    Interested applicants, please email a copy of your latest resume. Kimberley Consulting Reg No: 10C5555 Hoe ChangBang EA License: R1435209"
/job/vice-president-data-science-lazada-south-east-asia-8f9daa815a0c6f115f3c587b3f824842,"Team Introduction Lazada is the number one online shopping & selling destination in Southeast Asia – present in Indonesia, Malaysia, the Philippines, Singapore, Thailand and Vietnam. Lazada helps more than 80,000 local and international sellers as well as 2,500 brands serve the 560 million consumers in the region through its marketplace platform, supported by a wide range of tailored marketing, data, and service solutions. Lazada offers an excellent customer experience through a wide network of logistics partners and its own first- and last-mile delivery arm. Job Description As a Lazada data scientist, you will face different challenges. You will be applying different techniques such as deep learning, reinforcement learning, natural language processing and operational research to solve real world problems. You will be:  Responsible for recommendation frameworks and algorithms for products, product topics, sellers, and feeds stream by item quality control and online personalization. Responsible for developing audience, content and bidding algorithms for digital marketing on channels, and help engage our customers better by notifications. Responsible for campaign operation algorithms for seller and product recruiting, product scheduling, stock prediction, pricing strategy, and onsite recommendations. Responsible for ecommerce knowledge representations, quality controlling and caring for product, category, seller and reviews; natural language processing for opinion mining and text generation. ","Requirements At least two years relevant working experience; Masters or PhD degree in computer science, operations research, statistics, mathematics, or equivalent fields; Solid theoretical foundations and industry experiences in machine learning, natural language processing, personalized search & recommendation, user/seller behavior modeling, sales prediction, knowledge graph and representation, marketing algorithm, large scale data analysis/platforms; Expertise in deep learning, reinforcement learning, explore & exploit algorithms, control theory is preferred; Experience in machine learning libraries such as Tensorflow, Keras, Theano, etc; Solid programming skills in SQL, Java, Python and Scala; Passionate about technology, demonstrate ability to generate new ideas and innovations; excellent in self-learning, problem analyzing and solving; work independently, proactive, strong teamwork spirit; Good interpersonal and communication skills, including the ability to describe the logic and implications of a complex model to stakeholders.  "
/job/data-scientist-singapore-power-5731c18be188d7d1f80a840a834ad207,"Why Work for Us We Power the Nation.  Make the most of your talents and develop products that can create impact on a national scale. We are an in-house software team, assembled to move with speed and deliver with quality.   We Build Reliable Solutions. For Customers, Company and Country.  You will be part of the Digital Technology Team and together, you will innovate, create, and deploy digital products that will empower more than 3,800 employees within SP Group and improve the quality of life for the 1.5 million commercial, industrial and residential customers that SP Group serves. We build solutions that enable sustainable high quality lifestyles and help consumers save energy and cost, as well as supporting national goals for a sustainable livable city. Now, imagine the impact you can create.   SP Digital Technology aims to use cutting edge technologies to help SP Group to revolutionize future utility/energy industry by providing better services and more efficient energy solutions to our customers. Data charter consists of data engineering, business intelligence, data science/machine learning teams. We oversee and drive all data and AI initiatives for SP group. It includes the following  Build next generation data infrastructure to collect/process/analyze different data from consumers, assets, energy Discover the business problems/opportunities and design data-driven solutions to improve operation/business/customer experience Uncover the actionable insights for multiple stakeholders to drive business growth    The mission of data team is to drive SP to become data-driven company and create data-driven products. As a data team member, you will be responsible for designing, developing and deploying data-driven solutions to create business value. We are looking for a Data Scientist who will help us discover patterns hidden in large amounts of data and make decisions from different sources. Your primary focus will be in applying data wrangling and machine learning techniques to build high quality anomaly detection, prediction and recommendation systems integrated with our products. You will work closely with customers and data engineers to understand the business requirements, in-house infrastructure and help build solutions for different business users.   What You'll Do  Understand business logics from domain experts and come up with reasonable targets for data projects Data fetching from different sources such as database, big data lake running on hadoop/hive Enhancing data by building autonomous pipelines from different sources Data wrangling by preprocessing, cleansing, and feature engineering Applying state-of-art machine learning techniques such as RNN, CNN for predictions and anomaly detections Build agile data products in a team of data engineers, scientists and business users Doing ad-hoc analysis and presenting results in clear manner Guide junior team members on their projects Help find opportunities from different business partners ","RequirementsWhat You'll Need We are looking for Passion and Proficiency  Data-oriented personality and software engineering practices Excellent understanding of machine learning models, their pros and cons Experience with common data science toolkits such as Python/R Experience with data visualization tools such as D3.js, matplotlib and etc Proficiency in using query languages such as SQL, Hive Good understanding of statistics, such as distributions, A/B testing, model overfitting/underfitting Experience with one of deep learning libraries such as Tensorflow, Keras, Pytorch, CNTK, MXNet etc Master of Computer Science/Engineering, Applied Mathematics or other engineering related area "
