row,Desc_content,Requirements
/job/ict-trainer-executive-acp-computer-training-school-9f580f1b6c68d27aa8f8a213ba60f67a,"Receive a sign-on bonus up to $3,000* now when you join us as a ICT Trainer/ Executive! Further your Educational Technology (Change & Switch) career with us today! Always keeping up with technology and possess a strong passion to train? You may be the right person to be a ICT Trainer/ Executive! We are seeking for suitable candidates who will be stationed in a local government school to assist the teachers in the planning of ICT programmes, managing of ICT inventory and providing IT training for the students! Help shape the future, today! Expect continuous learning with us as we will provide you with the necessary trainings and workshops to make sure you are always up to date with the requirements of the school! ICT Trainer/ Executive Duties and Responsibilities  Provide ICT, LMS and AV support Plan and execute programmes and activities according to the ICT Plan Plan and allocate tasks for the ICT department Purchase ICT Equipment & Services based on school requirements, such as through bulk tenders, calling tenders and quotations Conduct software training for students in school in applications such as Microsoft Office, as well as IT CCA in school Oversee and train students in preparation of various ICT related competitions Manage IT project and data management of the school Update and upload of contents on the school website, which may involve the creation of flash animation using the photos provided Support and conduct special projects training for students that school embarks on Ad-hoc duties as assigned by the Head of ICT Department, such as assisting in events in the areas of photography and videography ","RequirementsRequirements:  Diploma in IT, Visual Communication, Digital and Interactive Media, Visual Communication or equivalent Preferably registered with Ministry of Education At least 1 year of experience working in a school environment or related position IT savvy and able to pick up new software very quickly Good knowledge of networking system including the wireless will be an added advantage Possess ICT contract, vendor and project management skills (ICT Executive role) Good verbal and written communication skills, proactive with good working attitudes Self-starter, ability to multitask and work both independently and as a team Candidates without working experience are welcomed "
/job/receptionist-59c892eab612ef732c39f783d1eeea8f,Full time:   1. Reception of parents of students and introducing school courses.   2. Recruit new students and collecting tuition fee.   3. Handle all data management and creating advertising materials.   4. We are Chinese Language Tuition Centre.  ,"Requirements1. Min. 1 year relevant experience and contract. 2. Min. 'O' level, bilingual in English and Chinese(The staff must be able to introduce school Chinese course). 3. Proficient in Microsofe Office. 4. Must be able to work on weekend from 9am to 6pm. 5. Must be able to work on weekday from 12pm to 9pm."
/job/reporting-analyst-itcan-1807088b97abed32625fca31c7243b01," Gather and Input Data - Reporting analysts gather and maintain a wide array of data-related operational processes and reporting. This involves both entering information into existing databases and creating new processes and programs to accurately input and store critical data. Analyze Information - Reporting analysts take an active role in data analysis and interpretation. Depending on the requirement, this can include analyzing operational team behavior and efficiency and productivity. Reporting analysts frequently need to exercise sound judgment while analyzing and interpreting data to ensure a high level of accuracy, timeliness, and usefulness for operations effectiveness. They will need to Identify, analyze and interpret trends or patterns in complex data sets. Prepare Reports - Reporting analysts prepare business documents and presentations for upper management and executives. They use data-gathering and modeling strategies to provide an overview of new processes and enhanced procedures for business-wide reporting. They also prepare the actual presentation reports. Design Data Management and Reporting Tools - Reporting analysts may also play a direct role in designing and developing reporting tools that are then deployed across the organization. Collaborate with Business Teams and Leadership - Reporting analysts frequently work across business lines, conferring with managers and executives to gather requirements and specifications while developing enhanced data and reports. They work directly with team leaders to gain a better sense of the current shortcomings in various reports and devise solutions to enhance reporting and data management. ","RequirementsQualifications ·         Bachelor’s degree in data communications, computer networking or relevant discipline. ·         Minimum 3 years of working experience in IT environment or in a call center environment. ·         Relevant professional certifications like ITIL familiarity is highly desirable."
/job/project-process-analyst-senior-federal-express-e754d8da9d2175c39261a653f315b787,"Analyst: Involves completing detailed analysis of complex data, systems or ideas and providing reports and recommendations. May also involve day-to-day data management in company software applications.","RequirementsApplication Development, Business Continuity, Customer Solutions, Develops & or executes text scripts, Drafts & reviews documentation in compliance with FedEx global development process & ensures all project deliverables are in compliance with the FedEx global development process, Information Security, Infrastructure, IT Strategic Planning, Project management activities include development & maintenance of project schedules, status reporting, issue management, & other tasks required to effectively manage & monitor a project through to successful completion (on time, within budget, adhering to high quality standards, & meeting customer expectations), Regional IT, Responsible for project management activities of IT project(s), or support of more senior level project management staff for high complexity projects, Tracks project spending against budgets"
/job/admission-officer-invictus-international-school-3c009a2153e017ac15807740995285f4,"Under the direction of the school administrator, the Admissions Officer is responsible for interacting on the School’s behalf with the general public to facilitate student admission to the School. The duties include, but are not limited to:   Admissions:   Explaining admission procedures and courses offered to prospective students and their parents through the School’s on-line application system, phone calls, emails, and meetings.   Delivering engaging and informative tours to prospective families in a group setting.   Supporting families throughout the admission process by answering queries and helping them complete the required documents.   With the assistance of school leadership, reviewing student applications for admission eligibility.   Maintaining regular communication with students, parents, colleagues and external agencies for coordinating admission activities and resolving problems.   Maintaining the School’s target metrics by converting prospective students into confirmed admission and succeed in achieving the School’s performance goals.   Maintain and manage the school’s data management system by keeping all applications current and valid.     Preparing and presenting admissions reports to the School’s management.   Marketing & Project Management   Managing the school’s social media accounts by generating ideas, creating written content and photos, and overseeing audience response.   Participating in educational events, international school fairs, information sessions and recruitment activities as a representative of the School.   Collaborating with associated program coordinators to organize presentations, information sessions, and recruitment related activities.   Managing special projects as needed, which may include: sourcing new collaborations, creating collateral material for the school, and supporting business development.  ","RequirementsThe suitable candidate will:   Be able to work well in a school environment; relevant, prior school’s experience will be given preference.   Have excellent written communication skills, and the ability to connect quickly with prospective families via email, flyers, social media and other written material.   Bring experience in public speaking, and an ease with presenting to groups up to 200 people.   Enjoy interacting with children and families and have a keen interest in working with an international population. This is a public-facing role.   Be a driven and energetic individual who thrives in a team environment.   Be proficient in MS office suite, comfortable with data management systems, and familiar with sales tools such as HubSpot.   Hold a university degree in any discipline; however, those without a degree but with relevant experience and expertise may also apply.  "
/job/full-stack-developer-java-itcan-8ee81104c50bb12544dad1f331d664db, Coding Continues integration and delivery Design and design on failure Test driven development Version control Performance testing and tuning Polygotism Database and data management Security Monitoring and alerting ,"Requirements Diploma or Degree with 4 years of experience working on Java. Ability to do analysis, development and test 2 years of experience working on Front End iOS/Android, HTML5 1 year or experience working on JavaScript frameworks (AngularJs. BackboneJs, Marionette, Polymer) Understand differences of roles in Agility 5 problems to be found in the iOS, Android, Java code review test (*) Tried at least 1 XP practice Expereince in banking domain will be added advantage. "
/job/administrative-assistant-executive-4ba4513eedfb10b7edd9ebb2eccfbd59,"Handling general office administrative work Answering phone call, data management, preparation documents an reports Pocess reports Project co-ordination Generate workers salary Purchasing Perform ad-hoc duties as assigned by the supervisor / management","Requirements Team players with initiative and self-discipline  Good knwedge of microsoft excel, works  Initiative to learn and hardworking"
/job/purchaser-354c28777e2026d6120d8ab4864f7859," Liaise with suppliers on material sourcing, purchasing and material delivery. Answering phone call, issuing Purchase Requisition/Purchase Order , data management, preparation documents and reports. Manage Inventory ","Requirements Bilingual in English & Mandarin. With purchasing experiences will be preferable. Handles customer-related issues in a professional and highly efficient manner. Perform ad-hoc duties as assigned by the supervisor/management. Tactful, meticulous and able to multi-task. Good interpersonal skills and telephone etiquette. Independent and outgoing personality. Good Knowledge of Microsoft Excel, Words or Photoshop. At least 1 year of working experience in the related field. "
/job/data-governance-specialist-tll-business-management-services-222984cf1fdbc3d8078defbb7a9bdcfc,"The Learning Lab is seeking a Data Governance Specialist to establish the strategic direction for building the data management programme and define the governing policies. The role contributes to the maintenance of customer records from various source documents into the Company's database system for storage, processing and data management purposes. This position will play a key role in ensuring the company's customer records are properly captured and maintained in the system to meet data quality and standards. You will be responsible to drive the development of the organisation governance framework. You will be working with various business functions to define data access matrix and policy. The individual is expected to work with a dynamic team to design and implement data-related governance framework and policies. You will drive data management and governance programme, strategy and framework across the Group to ensure data quality and integrity. You will implement and administer the programme including facilitating the Data Governance Council meetings and supporting work plan activities such as conducting communication to create data governance awareness, standardise data definition and manage data issues resolution. You will also provide mentorship, strategy and oversight for data-related programmes. Job responsibilities  Design, build and implement the organisation data governance framework.   Create and maintain data governance and or data management reporting. Reviewing, validating and approving requests for customer master creation and changes via Salesforce.com, SAP MDG and any other tools such as Excel. Prepare, maintain and present data quality reports. Baseline and continuously improve data quality through metrics tied to business impact. Formulate techniques for quality data collection to ensure adequacy, accuracy and legitimacy of data. Troubleshoot data-related problems and authorise maintenance or modifications. Define, design and create data policy and data procedure. Perform detailed data validation and accuracy checks. Ensure customer data and other related information are captured and maintained according to specifications, standards and policies established. Ensure processes and controls are in place. Define, formulate and or create the organisation’s data access matrix. Operationalise data access matrix. Design and implement enterprise-wide data governance framework and policies. These encompass the:     Data governance policy that provides the overarching approach towards managing data within the organisation. Data quality framework that sets out the governance framework to ensure high standards of data quality within the organisation.   Roll out the relevant data governance framework and policies to various departments, which include obtaining buy-ins from relevant stakeholders to embed operational processes to support the policy objectives. Perform regular review of the data governance framework and policies to ensure they are updated to meet changing organisational needs. Measure and report the effectiveness of the data governance framework and policies to senior management through the use of qualitative or quantitative metrics (e.g., cost avoidance or return on investments). Develop and or design custom DQ reports to perform data assessment. Contribute in terms of best practices and thought leadership in Data Governance & Strategy, and in executing enterprise-wide data governance tasks. Champion enterprise data governance best practices, such as designing and implementing effective data quality controls, accurately documenting data meanings and usage contexts or cultivating a data ownership mind set, by working collaboratively with data owners and stewards across the organisation. Institutionalise an organisation-wide discipline to track, monitor and resolve data governance and quality errors that affect overall data accuracy or operational efficiency. Design and develop data glossaries, data lineage, data quality profiles, rules and scorecards in line with business requirements for different groups of data owners and stewards. Collaborate with colleagues in technology group for technical designing and solutioning. Develop and enhance data governance artefacts around policies, standards and operating processes, keeping a balance between industry best practices and practical use. ","RequirementsSnapshots of our ideal candidate  Experience in operationalising Data Governance, Data Stewardship and Data Quality, including good understanding of good management practices and data risk and regulatory issues. Relevant years’ experience in enterprise data governance and management. Experience in data analysis, including inspection, cleansing, understanding and transforming data. Experience in conflict resolution, consensus building and management of competing priorities. Good stakeholder management skills. Well organised and disciplined in maintaining documentation. Confident and comfortable in dealing with senior management and or stakeholders. Understand the interaction between data attributes and business processes. Strong technical and analytical skill sets. Familiar in working with SQL, databases, data structures and data modelling concept. Strong inter-personal and people leadership skills to interact with diverse stakeholders. Enjoys working in a cross functional team, a team player and keen to explore new innovative ways of work. "
/job/deputy-director-director-administration-national-university-singapore-b17cbbc37e5f6c4af5dd04a4bcb8778c,"Job Purpose The Director of Administration plays a pivotal role in the delivery of NUS Yong Loo Lin School of Medicine's (NUS Medicine) strategic aims as part of the Senior Management. As the School's Chief Administrator, he is responsible for the School's IT and infrastructure support, enterprise risk management, operational response to various contingencies, and general administration of the Dean's Office. He also oversees the welfare and professional development of the School's Admin workforce. Duties and responsibilities 1. Oversee the IT and AV teams in the provision of IT and AV services, and lead the School’s digital transformation efforts:   Oversee the IT and AV teams, which include applications development, end-user support, AV/classroom support, server maintenance and web maintenance.   Lead a cross-functional team of domain leaders, IT representatives and consultants and solution architects to execute the overall IT road map for digitalisation of business processes across NUS Medicine.   Support the Dean’s Office, Departments and Centres in the sourcing, development and application of IT hardware and solutions in their work processes, interfacing with NUS CITO and NUHS CIO where necessary   Supervise the operationalisation of new IT/AV systems and ensure the proper upkeep of these systems   Ensure the cascading, implementation and compliance of NUHS/NUS IT policies and guidelines.   Partner with internal teams, developers and strategy partners to utilise data pipelines to steward data and establish analytics capabilities for NUS Medicine   Coordinate security operations to mitigate cybersecurity risks.   2. Oversee the Infrastructure team and provision for infrastructure to meet the educational, research and admin needs of the School:   Supervise the School’s infrastructure planning, budgeting and development, including interfacing with NUHS/NUS management and space committees.   Supervise the project management and operationalisation of new infrastructures.   Oversee the allocation, maintenance, safe and efficient management of all infrastructures under the responsibility of the School, in coordination with NUS OFM, OCS, OSHE, and other stakeholders and service providers, as necessary.   Ensure compliance with applicable safety regulations by occupants of the School’s buildings, offices, classrooms, Lecture theatres, laboratories etc.   Chair the School’s Space Committee for the management and allocation of admin, education and research spaces.   3. As the School’s Unit Incident Commander, ensure the School’s operational readiness to respond to various contingencies in a timely and effective fashion, and provide strategic and operational leadership over matters pertinent to Enterprise Risk, Business Continuity, Personal Data and Data Management, across NUS Medicine:   Create sound internal controls and monitor adherence to them.   Establish key risk indicators and develop an Enterprise risk management system to classify and mitigate risks.   Assist in the development and management of Emergency Preparedness Plans.   Oversee routine updates to Business Continuity plans and procedures.   Facilitate testing and exercising of Business Continuity plans as required.   Establish internal guidelines to govern the use of Personal Data and Confidential Information that may be stored in electronic and non-electronic forms.   Conduct internal reviews and audits.   4. Oversee the smooth running of the Deanery and events organised by the Dean’s Office:   Oversee the admin and logistics support for the Dean’s Office, including the management of general office spaces, the central registry, reception and facility booking systems.   Ensure the timely and accurate submission of relevant management reports, such as Data Management quarterly reports and annual Fixed Assets verification reports.   Oversee the planning and organisation of all visits and events organised on behalf of Dean’s Office eg. Medical Dinner, Dean’s Dialogues, Strategic Workshops, welfare events.   5. As Chief Administrator of NUS Medicine, provide leadership to the Admin workforce, among others by:   Overseeing the overall welfare and professional development of Admin staff;   Leading and guiding the respective Departments’/Centres’ Admin managers;   Supporting senior management in any change management efforts and cascading of policies/information to the Admin workforce.   6. Any other adhoc duties/special projects assigned.","Requirements  A reputable degree in an Engineering/Computer Science field or its equivalent, with at least 7 years of relevant experience.   Experience with systems integration, solution architecture and managing of analytical platforms.   A broad understanding and knowledge in digital/technology trends.   Experience with infrastructure management and planning.   An understanding of Enterprise risk frameworks and its application to organisational operations and governance is advantageous.   Familiarity with industry and professional compliance standards is advantageous.   Strong leadership and managerial skills and experience with working within cross-functional teams.   Good analytical and problem solving skills; ability to breakdown complex issues.   Excellent verbal and written communications skills.  "
